Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
AAPL,Common Stock,Apple Inc,"Apple Inc. is an American multinational technology company that specializes in consumer electronics, computer software, and online services. Apple is the world's largest technology company by revenue (totalling $274.5 billion in 2020) and, since January 2021, the world's most valuable company. As of 2021, Apple is the world's fourth-largest PC vendor by unit sales, and fourth-largest smartphone manufacturer. It is one of the Big Five American information technology companies, along with Amazon, Google, Microsoft, and Facebook.",320193,NASDAQ,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE INFINITE LOOP, CUPERTINO, CA, US",September,2022-09-30,2062007796000,130541003000,21.21,2.75,3.178,0.9,0.0074,6.11,24.32,0.253,0.303,0.212,1.755,394328015000,170782000000,6.11,0.048,0.081,174.62,21.21,23.09,5.51,44.63,5.92,17.53,1.272,178.8,124.17,141.8,151.04,15908100000,2022-11-10,2022-11-04
AMGN,Common Stock,Amgen Inc,"Amgen Inc. (formerly Applied Molecular Genetics Inc.) is an American multinational biopharmaceutical company headquartered in Thousand Oaks, California. Focused on molecular biology and biochemistry, its goal is to provide a healthcare business based on recombinant DNA technology.",318154,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","ONE AMGEN CENTER DRIVE, THOUSAND OAKS, CA, US",December,2022-09-30,142390886000,13425000000,21.5,1.55,6.85,7.58,0.0324,12.41,48.29,0.26,0.388,0.0993,1.152,26329999000,19525000000,12.41,0.202,-0.008,269.44,21.5,14.95,5.49,39.6,6.53,13.85,0.648,294.64,209.61,275.65,251.5,533579000,2023-03-08,2023-02-14
AXP,Common Stock,American Express Company,The American Express Company is a multinational financial services corporation headquartered at 200 Vesey Street in the Battery Park City neighborhood of Lower Manhattan in New York City.,4962,NYSE,USD,USA,FINANCE,FINANCE SERVICES,"200 VESEY STREET, 50TH FLOOR, NEW YORK, NY, US",December,2022-09-30,112211984000,None,15.06,1.15,32.05,1.99,0.0142,9.97,65.64,0.154,0.208,0.0384,0.317,49622999000,30799000000,9.97,0.089,0.149,167.72,15.06,13.85,2.321,4.81,-,-,1.158,196.81,130.2,150.44,156.11,747233000,2023-02-10,2023-01-05
BA,Common Stock,The Boeing Company,"The Boeing Company is an American multinational corporation that designs, manufactures, and sells airplanes, rotorcraft, rockets, satellites, telecommunications equipment, and missiles worldwide. The company also provides leasing and product support services.",12927,NYSE,USD,USA,MANUFACTURING,AIRCRAFT,"P O BOX 3707 MS 1F 31, SEATTLE, WA, US",December,2022-09-30,126944371000,-2680999936,None,6.53,-29.71,0,0,-8.29,103.57,-0.138,-0.0764,-0.0206,0,61420999000,5190000000,-8.29,-0.68,0.044,199.2,-,29.5,1.783,-,2.526,-34.48,1.499,229.67,113.02,175.22,156.97,595983000,2020-03-06,2020-02-13
CAT,Common Stock,Caterpillar Inc,"Caterpillar Inc. (often shortened to CAT) is an American Fortune 100 corporation that designs, develops, engineers, manufactures, markets, and sells machinery, engines, financial products, and insurance to customers via a worldwide dealer network.",18230,NYSE,USD,USA,TECHNOLOGY,CONSTRUCTION MACHINERY & EQUIP,"100 NE ADAMS ST, PEORIA, IL, US",December,2022-09-30,129508983000,11151000000,18.16,1.557,29.96,4.62,0.02,13.7,106.4,0.13,0.159,0.0695,0.456,56627999000,13189000000,13.7,0.488,0.209,232.84,18.16,15.9,2.12,7.83,2.688,12.79,1.124,249.91,159.53,230.79,204.86,520409000,2023-02-17,2023-01-19
CRM,Common Stock,Salesforce.com Inc,"Salesforce.com, Inc. is an American cloud-based software company headquartered in San Francisco, California. It provides customer relationship management (CRM) service and also provides a complementary suite of enterprise applications focused on customer service, marketing automation, analytics, and application development.",1108524,NYSE,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"THE LANDMARK, ONE MARKET STREET STE.300, SAN FRANCISCO, CA, US",January,2022-10-31,140509987000,2561000000,562.04,1.358,59.89,0,0,0.25,30.52,0.0092,0.0164,0.0035,0.0048,30294000000,19466000000,0.25,-0.553,0.142,193.11,562.04,23.75,4.306,2.27,4.517,32.72,1.129,239.28,126.34,143.74,165.64,1000000000,None,None
CSCO,Common Stock,Cisco Systems Inc,"Cisco Systems, Inc. is an American multinational technology conglomerate headquartered in San Jose, California, in the center of Silicon Valley. Cisco develops, manufactures and sells networking hardware, software, telecommunications equipment and other high-technology services and products. Through its numerous acquired subsidiaries, such as OpenDNS, Webex, Jabber and Jasper, Cisco specializes in specific tech markets, such as the Internet of Things (IoT), domain security and energy management. On January 25, 2021, Cisco reincorporated in Delaware.",858877,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER COMMUNICATIONS EQUIPMENT,"170 WEST TASMAN DR, SAN JOSE, CA, US",July,2022-10-31,198503399000,15862000000,17.44,2.35,9.81,1.51,0.0324,2.77,12.62,0.22,0.27,0.0933,0.277,52288999000,32248000000,2.77,-0.071,0.057,55.5,17.44,13.89,3.783,5.03,3.665,11.61,0.966,60.78,38.3,47.01,46.3,4108100000,2023-01-25,2023-01-04
CVX,Common Stock,Chevron Corp,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil and natural gas industries, including hydrocarbon exploration and production; refining, marketing and transport; chemicals manufacturing and sales; and power generation.",93410,NYSE,USD,USA,ENERGY & TRANSPORTATION,PETROLEUM REFINING,"6001 BOLLINGER CANYON ROAD, SAN RAMON, CA, US",December,2022-09-30,341403468000,52928999000,10.04,2.575,82.06,5.6,0.0324,17.58,117.48,0.15,0.163,0.0924,0.232,227054993000,66234000000,17.58,0.814,0.492,192.41,10.04,10.38,1.457,2.047,1.467,5.2,1.189,188.22,118.57,178.42,164.25,1933640000,2022-12-12,2022-11-17
DIS,Common Stock,Walt Disney Company,"The Walt Disney Company, commonly known as Disney, is an American diversified multinational mass media and entertainment conglomerate headquartered at the Walt Disney Studios complex in Burbank, California.",1744489,NYSE,USD,USA,TRADE & SERVICES,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,"500 SOUTH BUENA VISTA STREET, BURBANK, CA, US",September,2022-09-30,167624393000,11995000000,49.69,0.756,52.09,0,0,1.85,45.4,0.038,0.0826,0.021,0.0337,82721997000,28321000000,1.85,0.016,0.087,125.57,49.69,22.73,1.995,1.807,2.559,17.64,1.233,158.99,84.07,94.64,105.72,1823590000,2020-01-16,2019-12-13
DOW,Common Stock,Dow Inc,"Dow Inc. is an American commodity chemical company. The company is headquartered in Midland, Michigan.",1751788,NYSE,USD,USA,LIFE SCIENCES,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS","2211 H.H. DOW WAY, MIDLAND, MI, US",December,2022-09-30,38295044000,9958000000,6.99,0,25.74,2.8,0.0556,7.79,81.58,0.096,0.123,0.075,0.323,59407000000,10777000000,7.79,-0.543,-0.049,51.09,6.99,12.44,0.587,1.995,0.82,4.525,1.33,69.21,42.31,50.14,54.81,703759000,2022-12-09,2022-11-29
GS,Common Stock,Goldman Sachs Group Inc,"The Goldman Sachs Group, Inc., is an American multinational investment bank and financial services company headquartered in New York City. It offers services in investment management, securities, asset management, prime brokerage, and securities underwriting. It also provides investment banking to institutional investors.",886982,NYSE,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","200 WEST STREET, NEW YORK, NY, US",December,2022-09-30,117872067000,None,9.26,1.253,305.85,8.5,0.0291,37.57,134.67,0.293,0.371,0.0093,0.122,47324000000,52699000000,37.57,-0.448,-0.147,394.21,9.26,9.21,2.503,1.124,-,-,1.419,393.96,273.96,360.98,328.51,338635000,2022-12-29,2022-11-30
HD,Common Stock,Home Depot Inc,"The Home Depot, Inc., commonly known as Home Depot, is the largest home improvement retailer in the United States, supplying tools, construction products, and services. The company is headquartered in incorporated Cobb County, Georgia, with an Atlanta mailing address.",354950,NYSE,USD,USA,TRADE & SERVICES,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,"2455 PACES FERRY ROAD, ATLANTA, GA, US",January,2022-10-31,323623420000,27324000000,19.14,1.722,1.273,7.6,0.0241,16.59,153.04,0.109,0.155,0.203,0.146,157291004000,50832000000,16.59,0.082,0.056,341.09,19.14,19.68,2.123,261.81,2.461,14.29,0.948,384.63,261.22,312.6,299.26,1019190000,2022-12-15,2022-11-30
HON,Common Stock,Honeywell International Inc,"Honeywell International Inc. is an American publicly traded, multinational conglomerate headquartered in Charlotte, North Carolina. It primarily operates in four areas of business: aerospace, building technologies, performance materials and technologies (PMT), and safety and productivity solutions (SPS).",773840,NASDAQ,USD,USA,MANUFACTURING,AIRCRAFT ENGINES & ENGINE PARTS,"300 SOUTH TRYON STREET, CHARLOTTE, NC, US",December,2022-09-30,137469673000,8499000000,26.18,2.053,26.34,3.92,0.0192,7.81,51.26,0.154,0.209,0.0734,0.296,34937000000,10998000000,7.81,0.267,0.056,215.84,26.18,23.47,4.021,8.15,4.39,17.99,1.145,220.96,165.7,211.4,193.02,672322000,2022-12-02,2022-11-09
IBM,Common Stock,International Business Machines,"International Business Machines Corporation (IBM) is an American multinational technology company headquartered in Armonk, New York, with operations in over 170 countries. The company began in 1911, founded in Endicott, New York, as the Computing-Tabulating-Recording Company (CTR) and was renamed International Business Machines in 1924. IBM is incorporated in New York. IBM produces and sells computer hardware, middleware and software, and provides hosting and consulting services in areas ranging from mainframe computers to nanotechnology. IBM is also a major research organization, holding the record for most annual U.S. patents generated by a business (as of 2020) for 28 consecutive years. Inventions by IBM include the automated teller machine (ATM), the floppy disk, the hard disk drive, the magnetic stripe card, the relational database, the SQL programming language, the UPC barcode, and dynamic random-access memory (DRAM). The IBM mainframe, exemplified by the System/360, was the dominant computing platform during the 1960s and 1970s.",51143,NYSE,USD,USA,TECHNOLOGY,COMPUTER & OFFICE EQUIPMENT,"1 NEW ORCHARD ROAD, ARMONK, NY, US",December,2022-09-30,128801178000,12010000000,23.6,1.276,22.2,6.59,0.0468,6.09,67.2,0.0209,0.115,0.0322,0.0648,60535001000,31486000000,6.09,0.041,0.065,142.43,23.6,15.55,2.108,6.75,2.969,25.81,0.881,153.21,114.19,142.98,134.63,896320000,2022-12-10,2022-11-09
INTC,Common Stock,Intel Corporation,"Intel Corporation is an American multinational corporation and technology company headquartered in Santa Clara, California, in Silicon Valley. It is the world's largest semiconductor chip manufacturer by revenue, and is the developer of the x86 series of microprocessors, the processors found in most personal computers (PCs).",50863,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"2200 MISSION COLLEGE BLVD, RNB-4-151, SANTA CLARA, CA, US",December,2022-09-30,118568706000,20846000000,8.89,12.69,24.2,1.442,0.053,3.23,16.98,0.191,0.115,0.0293,0.14,69540004000,43815000000,3.23,-0.852,-0.201,31.13,8.89,15.04,1.611,1.168,1.921,4.937,0.765,54.12,24.26,28.2,35.51,4127000000,2022-12-01,2022-11-04
JNJ,Common Stock,Johnson & Johnson,"Johnson & Johnson (J&J) is an American multinational corporation founded in 1886 that develops medical devices, pharmaceuticals, and consumer packaged goods. Its common stock is a component of the Dow Jones Industrial Average and the company is ranked No. 36 on the 2021 Fortune 500 list of the largest United States corporations by total revenue. Johnson & Johnson is one of the world's most valuable companies, and is one of only two U.S.-based companies that has a prime credit rating of AAA, higher than that of the United States government.",200406,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"ONE JOHNSON & JOHNSON PLZ, NEW BRUNSWICK, NJ, US",December,2022-09-30,471260004000,32015000000,24.62,3.793,28.51,4.38,0.0256,7.32,36.52,0.2,0.26,0.0881,0.265,96041001000,64020000000,7.32,0.226,0.019,184.62,24.62,16.89,4.894,6.16,4.763,15.47,0.571,183.08,152.71,175.63,173.53,2614480000,2022-12-06,2023-02-17
JPM,Common Stock,JPMorgan Chase & Co,"JPMorgan Chase & Co. is an American multinational investment bank and financial services holding company headquartered in New York City. JPMorgan Chase is incorporated in Delaware. As a Bulge Bracket bank, it is a major provider of various investment banking and financial services. It is one of America's Big Four banks, along with Bank of America, Citigroup, and Wells Fargo. JPMorgan Chase is considered to be a universal bank and a custodian bank. The J.P. Morgan brand is used by the investment banking, asset management, private banking, private wealth management, and treasury services divisions.",19617,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"383 MADISON AVENUE, NEW YORK, NY, US",December,2022-09-30,404605600000,None,11.64,1.166,87.0,4,0.0296,11.85,40.61,0.307,0.381,0.0098,0.128,120585003000,130898000000,11.85,-0.166,0,144.65,11.64,10.38,3.165,1.534,-,-,1.111,164.39,100.54,132.03,122.7,2933200000,2023-01-31,2023-01-05
KO,Common Stock,Coca-Cola Co,"The Coca-Cola Company is an American multinational beverage corporation incorporated under Delaware's General Corporation Law and headquartered in Atlanta, Georgia. The Coca-Cola Company has interests in the manufacturing, retailing, and marketing of nonalcoholic beverage concentrates and syrups.",21344,NYSE,USD,USA,MANUFACTURING,BEVERAGES,"ONE COCA COLA PLAZA, ATLANTA, GA, US",December,2022-09-30,275082300000,13531000000,27.73,3.601,5.27,1.74,0.0277,2.281,9.79,0.234,0.289,0.0836,44.13,42342998000,23298000000,2.28,0.14,0.102,67.55,27.61,25.32,6.45,12.13,7.16,21.37,0.593,65.77,53.64,61.62,61.92,4324510000,2022-12-15,2022-11-30
MCD,Common Stock,McDonaldâ€™s Corporation,"McDonald's Corporation is an American fast food company, founded in 1940 as a restaurant operated by Richard and Maurice McDonald, in San Bernardino, California, United States. They rechristened their business as a hamburger stand, and later turned the company into a franchise, with the Golden Arches logo being introduced in 1953 at a location in Phoenix, Arizona.",63908,NYSE,USD,USA,TRADE & SERVICES,RETAIL-EATING PLACES,"ONE MCDONALD'S PLAZA, OAK BROOK, IL, US",December,2022-09-30,197366301000,12056001000,33.98,3.336,-8.96,5.52,0.0232,7.93,31.43,0.254,0.437,0.126,0,23265200000,12580200000,7.93,-0.063,-0.053,291.5,33.98,26.32,8.55,-,10.55,23.03,0.65,280.09,214.1,270.51,254.91,732424000,2022-12-15,2022-11-30
MMM,Common Stock,3M Company,"The 3M Company is an American multinational conglomerate corporation operating in the fields of industry, worker safety, US health care, and consumer goods. The company produces over 60,000 products under several brands, including adhesives, abrasives, laminates, passive fire protection, personal protective equipment, window films, paint protection films, dental and orthodontic products, electrical and electronic connecting and insulating materials, medical products, car-care products, electronic circuits, healthcare software and optical films. It is based in Maplewood, a suburb of Saint Paul, Minnesota.",66740,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"3M CENTER, BLDG. 220-13E-26A, ST PAUL, MN, US",December,2022-09-30,70043591000,6969000000,11.06,2.314,25.47,5.95,0.0485,11.46,60.79,0.189,0.146,0.0674,0.459,34761998000,16579000000,11.46,1.763,-0.036,129.71,11.06,11.92,1.946,4.95,2.377,8.52,0.986,173.96,105.83,124.91,133.06,552743000,2022-12-12,2022-11-17
MRK,Common Stock,Merck & Company Inc,"Merck & Co. is an American multinational pharmaceutical company headquartered in Kenilworth, New Jersey. It is named after the Merck family, which set up Merck Group in Germany in 1668.",310158,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"2000 GALLOPING HILL ROAD, KENILWORTH, NJ, US",December,2022-09-30,291165307000,24074000000,19.04,1.359,17.55,2.72,0.0257,6.03,23.31,0.259,0.345,0.127,0.382,58973999000,35463000000,6.03,-0.289,0.137,115.96,19.04,14.75,4.713,6.36,5.12,13.96,0.393,115.49,70.61,106.25,93.17,2535400000,2023-01-09,2022-12-14
MSFT,Common Stock,Microsoft Corporation,"Microsoft Corporation is an American multinational technology company which produces computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. Its flagship hardware products are the Xbox video game consoles and the Microsoft Surface lineup of touchscreen personal computers. Microsoft ranked No. 21 in the 2020 Fortune 500 rankings of the largest United States corporations by total revenue; it was the world's largest software maker by revenue as of 2016. It is considered one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Amazon, and Facebook.",789019,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"ONE MICROSOFT WAY, REDMOND, WA, US",June,2022-09-30,1676733972000,98841002000,24.21,2.275,23.28,2.54,0.0122,9.29,27.14,0.344,0.417,0.152,0.429,203074994000,135620000000,9.29,-0.133,0.106,293.28,24.21,27.03,9.14,11.05,9.21,18.55,0.926,320.41,212.83,240.18,259.98,7454470000,2023-03-09,2023-02-15
NKE,Common Stock,Nike Inc,"Nike, Inc. is an American multinational corporation that is engaged in the design, development, manufacturing, and worldwide marketing and sales of footwear, apparel, equipment, accessories, and services. The company is headquartered near Beaverton, Oregon, in the Portland metropolitan area. It is the world's largest supplier of athletic shoes and apparel and a major manufacturer of sports equipment.",320187,NYSE,USD,USA,MANUFACTURING,RUBBER & PLASTICS FOOTWEAR,"ONE BOWERMAN DR, BEAVERTON, OR, US",May,2022-11-30,194838381000,7178000000,35.18,3.63,9.8,1.255,0.0113,3.54,31.29,0.115,0.13,0.102,0.373,49107001000,21479000000,3.54,0.024,0.172,125.55,35.18,36.36,3.601,11.02,3.713,24.74,1.087,151.97,81.97,105.8,110.03,1259690000,2022-12-28,2022-12-02
PG,Common Stock,Procter & Gamble Company,"The Procter & Gamble Company (P&G) is an American multinational consumer goods corporation headquartered in Cincinnati, Ohio, founded in 1837 by William Procter and James Gamble. It specializes in a wide range of personal health, consumer health, personal care, and hygiene products; these products are organized into several segments including Beauty; Grooming; Health Care; Fabric & Home Care; and Baby, Feminine, & Family Care. Before the sale of Pringles to Kellogg's, its product portfolio also included food, snacks, and beverages.",80424,NYSE,USD,USA,LIFE SCIENCES,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS","ONE PROCTER & GAMBLE PLAZA, CINCINNATI, OH, US",June,2022-09-30,364744245000,21364001000,26.68,4.982,18.25,3.566,0.0243,5.77,33.53,0.181,0.231,0.0986,0.322,80460997000,38212000000,5.77,-0.021,0.013,149.47,26.68,26.32,4.45,8.38,4.838,18.39,0.431,162.68,121.32,145.06,144.59,2369700000,2022-11-15,2022-10-20
TRV,Common Stock,The Travelers Companies Inc,"The Travelers Companies, Inc., commonly known as Travelers, is an American insurance company.",86312,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","385 WASHINGTON ST, SAINT PAUL, MN, US",December,2022-09-30,45433045000,5215000000,14.18,1.53,84.96,3.62,0.0198,13.67,151.3,0.0926,0.12,0.0232,0.139,36259000000,9475000000,13.67,-0.279,0.057,183.47,14.18,12.55,1.186,2.186,1.379,-,0.642,194.45,148.91,185.25,172.76,234348000,2022-12-30,2022-12-08
UNH,Common Stock,UnitedHealth Group Incorporated,"UnitedHealth Group Incorporated is an American for-profit multinational managed healthcare and insurance company based in Minnetonka, Minnesota. It offers health care products and insurance services. In 2020, it was the second-largest healthcare company (behind CVS Health) by revenue with $257.1 billion, and the largest insurance company by net premiums. UnitedHealthcare revenues comprise 80% of the Group's overall revenue.",731766,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"UNITEDHEALTH GROUP CENTER, 9900 BREN ROAD EAST, MINNEAPOLIS, MN, US",December,2022-09-30,467979895000,29351000000,24.53,1.657,79.8,6.2,0.0124,19.97,335.77,0.0617,0.086,0.0742,0.253,315117994000,69652000000,19.97,0.297,0.118,597.26,24.53,21.6,1.565,6.74,1.626,16.82,0.734,556.38,440.1,532.26,518.82,934349000,2022-12-13,2022-12-02
V,Common Stock,Visa Inc. Class A,"Visa Inc. is an American multinational financial services corporation headquartered in Foster City, California, United States. It facilitates electronic funds transfers throughout the world, most commonly through Visa-branded credit cards, debit cards and prepaid cards. Visa is one of the world's most valuable companies.",1403161,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","P.O. BOX 8999, SAN FRANCISCO, CA, US",September,2022-09-30,447050744000,20621001000,30.16,1.628,16.08,1.575,0.0087,7,14.06,0.51,0.674,0.147,0.409,29309999000,28567000000,7,0.13,0.187,249.5,30.16,25.64,15.02,12.7,15.55,23.33,0.953,234.06,174.19,207.55,204.68,1627850000,2022-12-01,2022-11-09
VZ,Common Stock,Verizon Communications Inc,"Verizon Communications Inc. is an American multinational telecommunications conglomerate and a corporate component of the Dow Jones Industrial Average. The company is headquartered at 1095 Avenue of the Americas in Midtown Manhattan, New York City, but is incorporated in Delaware.",732712,NYSE,USD,USA,TECHNOLOGY,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),"1095 AVENUE OF THE AMERICAS, NEW YORK, NY, US",December,2022-09-30,175132492000,43437998000,8.91,5.51,20.83,2.572,0.0662,4.68,32.35,0.142,0.197,0.0459,0.237,135651000000,77312000000,4.68,-0.246,0.04,45.25,8.91,7.39,1.169,1.798,2.427,7.19,0.357,53.91,34.55,38.07,44.46,4199820000,2023-02-01,2023-01-09
WBA,Common Stock,Walgreens Boots Alliance Inc,"Walgreens Boots Alliance, Inc. is an American pharmaceuticals holding company headquartered in Deerfield, Illinois. It owns the pharmacy chains Walgreens and Boots, as well as several pharmaceutical manufacturing, wholesale, and distribution companies.",1618921,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"108 WILMOT ROAD, DEERFIELD, IL, US",August,2022-11-30,31427762000,3812000000,7.25,12.0,28.46,1.915,0.0546,5.03,153.02,-0.0224,0.0161,0.0141,-0.113,132183998000,28266000000,5.03,-0.76,-0.015,42.01,7.25,8.8,0.251,1.161,0.471,10.52,0.743,52.52,30.01,39.04,39.45,862334000,2022-12-12,2022-11-14
