Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
WMT,Common Stock,Walmart Inc,"Walmart Inc. is an American multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores from the United States, headquartered in Bentonville, Arkansas. It also owns and operates Sam's Club retail warehouses.",104169,NYSE,USD,USA,TRADE & SERVICES,RETAIL-VARIETY STORES,"702 SOUTHWEST 8TH ST, BENTONVILLE, AR, US",January,2022-10-31,395836293000,34894000000,45.16,3.834,26.75,2.23,0.0156,3.25,218.82,0.0149,0.0401,0.0611,0.106,600111972000,143754000000,3.25,0.237,0.087,161.18,45.16,22.57,0.653,5.47,0.749,17.5,0.532,158.89,116.32,145.62,137.79,2696800000,2023-01-03,2022-12-08
A,Common Stock,Agilent Technologies Inc,"Agilent Technologies, Inc. is an American analytical instrumentation development and manufacturing company that offers its products and services to markets worldwide. Its global headquarters is located in Santa Clara, California.",1090872,NYSE,USD,USA,LIFE SCIENCES,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,"5301 STEVENS CREEK BLVD, SANTA CLARA, CA, US",October,2022-10-31,45035512000,1994000000,36.39,2.36,17.97,0.84,0.006,4.18,22.9,0.183,0.245,0.0987,0.234,6848000000,3722000000,4.18,-0.146,0.114,161.65,36.39,26.95,6.5,8.63,6.92,24.87,1.079,160.03,111.96,147.75,131.89,296072000,2023-01-25,2022-12-30
AAL,Common Stock,American Airlines Group,"American Airlines Group Inc. is an American publicly traded airline holding company headquartered in Fort Worth, Texas.",6201,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED","1 SKYVIEW DRIVE, FORT WORTH, TX, US",December,2022-09-30,9215597000,2400000000,None,0.627,-12.15,0,0.0303,-3.671,69.58,-0.0356,0.0003,0.0001,0,45210001000,1934000000,-3.671,1.735,0.501,15.57,-,8.33,0.186,-,0.934,-361.05,1.476,21.42,11.65,13.73,14.79,649901000,2020-02-19,2020-02-04
AAP,Common Stock,Advance Auto Parts Inc,"Advance Auto Parts, Inc. (Advance) is an American automotive aftermarket parts provider. Headquartered in Raleigh, North Carolina, it serves both professional installer and do-it-yourself (DIY) customers.",1158449,NYSE,USD,USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,"5008 AIRPORT RD, ROANOKE, VA, US",December,2022-09-30,9126256000,1012869000,19.75,0.909,45.86,5.5,0.0392,7.8,181.3,0.043,0.0661,0.0382,0.161,11077951000,4931356000,7.8,-0.313,0.008,167.33,19.75,11.03,0.766,3.13,1.077,12.61,1.139,235.71,138.52,159.12,181.72,59254000,2023-01-03,2022-12-15
AAPL,Common Stock,Apple Inc,"Apple Inc. is an American multinational technology company that specializes in consumer electronics, computer software, and online services. Apple is the world's largest technology company by revenue (totalling $274.5 billion in 2020) and, since January 2021, the world's most valuable company. As of 2021, Apple is the world's fourth-largest PC vendor by unit sales, and fourth-largest smartphone manufacturer. It is one of the Big Five American information technology companies, along with Amazon, Google, Microsoft, and Facebook.",320193,NASDAQ,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE INFINITE LOOP, CUPERTINO, CA, US",September,2022-09-30,2062007796000,130541003000,21.21,2.75,3.178,0.9,0.0074,6.11,24.32,0.253,0.303,0.212,1.755,394328015000,170782000000,6.11,0.048,0.081,174.62,21.21,23.09,5.51,44.63,5.92,17.53,1.272,178.8,124.17,141.8,151.04,15908100000,2022-11-10,2022-11-04
ABBV,Common Stock,AbbVie Inc,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,1551152,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, US",December,2022-09-30,294345802000,29801001000,22.07,1.279,9.04,5.64,0.0366,7.54,32.64,0.232,0.372,0.0927,0.906,57819001000,38883000000,7.54,0.242,0.033,161.63,22.07,14.39,4.989,18.23,6.04,13.8,0.672,171.07,124.73,157.36,150.49,1768480000,2023-02-15,2023-01-12
ABC,Common Stock,AmerisourceBergen,AmerisourceBergen Corporation is an American drug wholesale company that was formed by the merger of Bergen Brunswig and AmeriSource in 2001.,1140859,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES","1300 MORRIS DRIVE, CHESTERBROOK, PA, US",September,2022-09-30,33512352000,3489651000,20.81,1.577,-1.026,1.84,0.0117,7.97,1144.46,0.0071,0.0117,0.0306,0.508,238587003000,8334565000,7.97,-0.323,0.038,178.42,20.81,14.2,0.141,5.58,0.15,11.43,0.55,174.63,126.35,163.41,151.75,202078000,2022-11-28,2022-11-10
ABT,Common Stock,Abbott Laboratories,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",1800,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"100 ABBOTT PARK ROAD, ABBOTT PARK, IL, US",December,2022-09-30,195855221000,13688001000,25.36,18.76,20.46,1.88,0.0184,4.43,25.59,0.175,0.23,0.0882,0.224,45029999000,25009000000,4.43,-0.308,-0.047,118.97,25.36,25.13,4.202,5.44,4.452,15.2,0.668,133.73,93.25,104.86,108.36,1743570000,2023-02-15,2023-01-12
ACGL,Common Stock,Arch Capital Group Ltd,"Arch Capital Group Ltd., offers insurance, reinsurance and mortgage products worldwide. The company is headquartered in Pembroke, Bermuda.",947484,NASDAQ,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","WATERLOO HOUSE, GROUND FLOOR, 100 PITTS BAY ROAD, PEMBROKE, BM",December,2022-09-30,23279806000,1278628000,20.11,2.24,29.86,0,0,3.13,23.81,0.14,0.132,0.016,0.0987,8855909000,3361999000,3.13,-0.981,0.136,65.78,20.11,11.34,2.519,2.025,2.802,-,0.771,64.06,41.05,58.9,49.26,369873000,None,None
ACN,Common Stock,Accenture plc,"Accenture plc is an Irish-domiciled multinational company that provides consulting and processing services. It has been incorporated in Dublin, Ireland since 2009.",1467373,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1 GRAND CANAL SQUARE, GRAND CANAL HARBOUR, DUBLIN, IE",August,2022-11-30,165742625000,10576087000,23.59,2.975,36.5,4.18,0.0168,11.15,98.66,0.113,0.153,0.131,0.321,62376956000,19701539000,11.15,0.108,0.052,313.45,23.59,25.58,2.878,8.69,3.043,18.53,1.212,379.26,242.95,280.36,290.01,629740000,2023-02-15,2023-01-09
ADBE,Common Stock,Adobe Systems Incorporated,"Adobe Inc. is an American multinational computer software company. Incorporated in Delaware and headquartered in San Jose, California, it has historically specialized in software for the creation and publication of a wide range of content, including graphics, photography, illustration, animation, multimedia, motion pictures and print. The company has expanded into digital marketing management software. Adobe has millions of users worldwide. Flagship products include: Photoshop image editing software, Adobe Illustrator vector-based illustration software, Adobe Acrobat Reader and the Portable Document Format (PDF), plus a host of tools primarily for audio-visual content creation, editing and publishing.",796343,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"345 PARK AVE, SAN JOSE, CA, US",November,2022-11-30,154695467000,6952667000,33.01,1.481,30.22,0,0,10.08,37.46,0.27,0.346,0.14,0.33,17606001000,15441000000,10.08,-0.015,0.101,386.17,33.01,22.22,8.89,10.99,9.13,22.68,1.257,541.59,274.73,328.81,370.95,464900000,None,2005-03-24
ADI,Common Stock,Analog Devices Inc,"Analog Devices, Inc. (ADI), also known simply as Analog, is an American multinational semiconductor company specializing in data conversion, signal processing and power management technology, headquartered in Wilmington, Massachusetts.",6281,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"ONE TECHNOLOGY WAY, NORWOOD, MA, US",October,2022-10-31,81329480000,6118232000,30.71,1.526,71.6,3.04,0.0185,5.2,23.14,0.229,0.318,0.0465,0.0738,12013953000,7803870000,5.2,10.98,0.388,193.27,30.71,17.06,7.04,2.398,7.71,16.54,1.163,179.95,132.89,160.51,157.63,509296000,2022-12-15,2022-12-02
ADM,Common Stock,Archer-Daniels-Midland Company,"The Archer-Daniels-Midland Company, commonly known as ADM, is an American multinational food processing and commodities trading corporation founded in 1902 and headquartered in Chicago, Illinois. The company operates more than 270 plants and 420 crop procurement facilities worldwide, where cereal grains and oilseeds are processed into products used in food, beverage, nutraceutical, industrial, and animal feed markets worldwide.",7084,NYSE,USD,USA,MANUFACTURING,FATS & OILS,"77 W. WACKER DR., CHICAGO, IL, US",December,2022-09-30,47215256000,5277000000,12.28,16.43,43.71,1.57,0.0172,7,174.78,0.0416,0.043,0.048,0.178,98706997000,5987000000,7,0.968,0.214,101.29,12.28,14.45,0.514,2.124,0.604,9.31,0.844,98.12,64.42,93.8,87.43,549334000,2021-09-08,2022-11-15
ADP,Common Stock,Automatic Data Processing Inc,"Automatic Data Processing, Inc. (ADP) is an American provider of human resources management software and services.",8670,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"ONE ADP BOULVARD, ROSELAND, NJ, US",June,2022-09-30,99625091000,4503700000,33.26,2.947,6.21,4.16,0.0214,7.22,40.47,0.179,0.236,0.0468,0.764,16881601000,7447100000,7.22,0.133,0.1,252.35,33.26,31.95,6.11,41.87,6.72,24.22,0.864,274.92,188.67,249.45,233.14,414828000,2023-01-01,2022-12-08
ADSK,Common Stock,Autodesk Inc,"Autodesk, Inc. is an American multinational software corporation that makes software products and services for the architecture, engineering, construction, manufacturing, media, education, and entertainment industries. Autodesk is headquartered in San Rafael, California.",769397,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"111 MCINNIS PKWY, SAN RAFAEL, CA, US",January,2022-10-31,40389427000,1035100000,67.09,1.079,4.194,0,0,2.79,22.53,0.126,0.197,0.0704,0.566,4898400000,4021400000,2.79,0.468,0.137,228.18,67.09,27.25,8.55,47.65,9.06,43.62,1.474,274.95,163.2,200.76,198.88,215767000,None,2005-03-22
AEE,Common Stock,Ameren Corp,"Ameren Corporation is an American power company created December 31, 1997, by the merger of St. Louis, Missouri's Union Electric Company (formerly NYSE: UEP) and the neighboring Central Illinois Public Service Company (CIPSCO Inc. holding, formerly NYSE: CIP) of Springfield, Illinois. It is now a holding company for several power companies and energy companies.",1002910,NYSE,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC & OTHER SERVICES COMBINED,"1901 CHOUTEAU AVE, MC 1310, ST LOUIS, MO, US",December,2022-09-30,22832663000,2882000000,22.14,2.548,39.46,2.32,0.0274,3.99,27.77,0.145,0.224,0.0278,0.103,7165000000,2991000000,3.99,0.055,0.285,93.42,22.14,20.53,3.182,2.246,5.12,12.45,0.446,97.28,72.78,86.05,89.35,258522000,2022-12-30,2022-12-06
AEP,Common Stock,American Electric Power Company Inc,"American Electric Power (AEP) is a major investor-owned electric utility in the United States, delivering electricity to more than five million customers in 11 states.",4904,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"1 RIVERSIDE PLAZA, COLUMBUS, OH, US",December,2022-09-30,49603293000,7076300000,20.03,3.045,47.26,3.12,0.035,4.82,36.95,0.131,0.21,0.0279,0.105,18819799000,7656200000,4.82,-0.158,0.195,104.4,20.03,18.62,2.61,2.085,4.69,12.14,0.422,104.62,79.55,93.05,96.36,513864000,2022-12-09,2022-11-09
AES,Common Stock,The AES Corporation,"The AES Corporation is a Fortune 500 company that generates and distributes electrical power. AES is headquartered in Arlington, Virginia.",874761,NYSE,USD,USA,ENERGY & TRANSPORTATION,COGENERATION SERVICES & SMALL POWER PRODUCERS,"4300 WILSON BOULEVARD, ARLINGTON, VA, US",December,2022-09-30,17653920000,3440000000,None,2.127,3.849,0.625,0.0231,-0.223,18.47,-0.0223,0.193,0.0409,-0.15,12327000000,2711000000,-0.223,0.229,0.195,30.91,-,16.72,1.556,7.6,3.273,30.85,0.973,29.89,18.38,27.79,24.25,667950000,2023-02-15,2023-01-31
AFL,Common Stock,Aflac Inc,Aflac Inc. (American Family Life Assurance Company) is an American insurance company and is the largest provider of supplemental insurance in the United States.,4977,NYSE,USD,USA,FINANCE,ACCIDENT & HEALTH INSURANCE,"1932 WYNNTON RD, COLUMBUS, GA, US",December,2022-09-30,46660678000,5588000000,9.49,0.93,38.71,1.53,0.0234,7.78,32.47,0.241,0.265,0.024,0.175,20928000000,9104000000,7.78,0.917,-0.08,67.77,9.49,12.8,2.06,1.812,2.243,-,0.936,74.02,51.43,69.68,61.89,631916000,2023-03-01,2023-02-14
AIG,Common Stock,American International Group Inc,"American International Group, Inc., also known as AIG, is an American multinational finance and insurance corporation with operations in more than 80 countries and jurisdictions. The company operates through three core businesses: General Insurance, Life & Retirement, and a standalone technology-enabled subsidiary.",5272,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","175 WATER STREET, NEW YORK, NY, US",December,2022-09-30,47186657000,23551001000,3.729,0.549,51.58,1.28,0.0202,17.03,74.15,0.232,0.313,0.0208,0.285,59378000000,19531000000,17.03,0.823,0.146,67.85,3.729,9.95,0.778,1.193,1.267,-,1.201,64.61,46.81,60.79,56.62,742980000,2022-12-29,2022-12-14
AIZ,Common Stock,Assurant Inc,"Assurant, Inc. is a global provider of risk management products and services with headquarters in New York City.",1267238,NYSE,USD,USA,FINANCE,"INSURANCE CARRIERS, NEC","28 LIBERTY STREET, 41ST FLOOR, NEW YORK, NY, US",December,2022-09-30,6820005000,719800000,21.13,1.46,77.5,2.72,0.0224,6.11,182.8,0.0336,0.0528,0.01,0.0697,10115100000,1161700000,6.11,-0.991,-0.034,158.8,21.13,9.27,0.653,1.619,0.725,-,0.5,191.53,118.35,128.39,160.04,52831000,2022-12-19,2022-11-25
AJG,Common Stock,Arthur J Gallagher & Co,"Arthur J. Gallagher & Co. (AJG) is an American global insurance brokerage and risk management services firm headquartered in Rolling Meadows, Illinois.",354190,NYSE,USD,USA,FINANCE,"INSURANCE AGENTS, BROKERS & SERVICE","2850 GOLF ROAD, ROLLING MEADOWS, IL, US",December,2022-09-30,40485499000,2309800000,38.17,2.09,40.66,2.01,0.0108,5.03,39.38,0.132,0.209,0.0328,0.129,8247300000,2942300000,5.03,0.123,-0.05,215,38.17,21.79,4.809,4.717,5.48,21.31,0.689,201.51,145.6,190.41,176.77,210840000,2022-12-16,2022-12-01
AKAM,Common Stock,Akamai Technologies Inc,"Akamai Technologies, Inc. is a global content delivery network (CDN), cybersecurity, and cloud service company, providing web and Internet security services.",1086222,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","145 BROADWAY, CAMBRIDGE, MA, US",December,2022-09-30,13499225000,1175294000,27.43,1.361,26.81,0,0,3.13,22.43,0.141,0.21,0.0581,0.115,3594233000,2192267000,3.13,-0.37,0.025,102.14,27.43,15.2,3.744,3.3,4.524,12.65,0.709,123.25,76.28,88.29,94.88,157242000,None,None
ALB,Common Stock,Albemarle Corp,"Albemarle Corporation is a fine chemical manufacturing company based in Charlotte, North Carolina.",915913,NYSE,USD,USA,LIFE SCIENCES,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS","4250 CONGRESS STREET, SUITE 900, CHARLOTTE, NC, US",December,2022-09-30,25965791000,2123138000,16.8,0.316,57.47,1.58,0.0072,13.19,47.77,0.278,0.329,0.0933,0.259,5593330000,1008471000,13.19,-0.044,1.519,309.13,16.8,9.74,5.04,4.313,5.55,15.91,1.52,334.02,168.83,264.27,246.41,117153000,2023-01-03,2022-12-15
ALGN,Common Stock,Align Technology Inc,"Align Technology is a manufacturer of 3D digital scanners and the Invisalign clear aligners used in orthodontics. It is headquartered in San Jose, California.",1097149,NASDAQ,USD,USA,LIFE SCIENCES,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES","2820 ORCHARD PARKWAY, SAN JOSE, CA, US",December,2022-09-30,17244875000,872510000,34.12,10.8,47.3,0,0,6.47,49.23,0.132,0.194,0.0812,0.142,3864219000,2935355000,6.47,-0.592,-0.124,244.9,34.12,25.06,4.083,4.14,3.707,16.42,1.652,562.26,172.05,197.55,261.58,78112000,None,None
ALK,Common Stock,Alaska Air Group Inc,"Alaska Air Group is an airline holding company based in SeaTac, Washington, United States.",766421,NYSE,USD,USA,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED","19300 INTERNATIONAL BOULEVARD, SEATTLE, WA, US",December,2022-09-30,5743224000,1092000000,113.2,1.3,30.16,0,0.0534,0.4,71.81,0.006,0.0752,0.03,0.0147,9066000000,939000000,0.4,-0.797,0.448,61.5,113.2,8.1,0.612,1.516,0.729,11.31,1.437,61.55,38.19,44.82,45.99,126838000,2020-03-05,2020-02-14
ALL,Common Stock,Allstate Corp,"The Allstate Corporation is an American insurance company, headquartered in Northfield Township, Illinois.",899051,NYSE,USD,USA,FINANCE,"FIRE, MARINE & CASUALTY INSURANCE","2775 SANDERS ROAD, NORTHBROOK, IL, US",December,2022-09-30,36954362000,1278000000,43.41,3.397,59.03,3.36,0.0249,3.21,183.74,-0.0041,0.0072,0.002,0.0023,50775998000,13969000000,3.21,-0.676,0.058,143.23,43.41,12.47,0.691,1.949,0.792,-,0.636,142.05,110.37,131.33,129.21,265210000,2023-01-03,2022-11-29
ALLE,Common Stock,Allegion PLC,"Allegion plc is an American-Irish provider based in Dublin of security products, for homes and businesses. It comprises thirty one global brands, including CISA, Interflex, LCN, Schlage and Von Duprin.",1579241,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES","BLOCK D IVEAGH COURT, HARCOURT ROAD, DUBLIN 2, IE",December,2022-09-30,9465277000,662900000,21.95,2.033,9.01,1.59,0.0152,4.91,35.32,0.14,0.187,0.103,0.524,3119600000,1204900000,4.91,-0.182,0.274,118.58,21.95,18.08,2.977,12.19,3.715,17.69,1.081,128.37,87.33,108.23,104.35,87845000,2022-12-30,2022-12-15
AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",October,2022-10-31,88018477000,8266000000,14.01,3.775,14.45,1.02,0.0106,7.44,29.6,0.253,0.303,0.186,0.534,25785000000,11993000000,7.44,-0.019,0.102,118.25,14.01,15.97,3.489,7.74,3.77,11.75,1.571,165.53,70.95,100.89,102.0,844140000,2023-03-16,2023-02-22
AMCR,Common Stock,Amcor PLC,"Amcor plc is an Australian-American, UK-domiciled packaging company. It develops and produces flexible packaging, rigid containers, specialty cartons, closures and services for food, beverage, pharmaceutical, medical-device, home and personal-care, and other products.",1748790,NYSE,USD,USA,MANUFACTURING,MISCELLANEOUS MANUFACTURING INDUSTRIES,"83 TOWER ROAD NORTH, WARMLEY, BRISTOL, GB",June,2022-09-30,18166045000,2069000000,22.18,None,2.638,0.482,0.0411,0.55,9.92,0.0563,0.102,0.0551,0.195,14836000000,2820000000,0.55,0.183,0.085,11.9,22.18,15.48,1.23,4.743,1.715,13.27,0.854,13.33,10.31,11.9,12.07,1489020000,2022-12-13,2022-11-22
AMD,Common Stock,Advanced Micro Devices Inc,"Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company based in Santa Clara, California, that develops computer processors and related technologies for business and consumer markets. AMD's main products include microprocessors, motherboard chipsets, embedded processors and graphics processors for servers, workstations, personal computers and embedded system applications.",2488,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"2485 AUGUSTINE DRIVE, SANTA CLARA, CA, US",December,2022-09-30,101675819000,5547000000,38.71,0.902,33.84,0,0,1.61,15.65,0.0996,0.131,0.0473,0.0737,22827999000,7929000000,1.61,-0.947,0.29,90.87,38.71,18.02,4.699,2.038,4.75,18.86,2.002,141.25,54.57,67.69,82.72,1612360000,None,1995-04-27
AME,Common Stock,Ametek Inc,"AMETEK, Inc. is an American global manufacturer of electronic instruments and electromechanical devices with a headquarters in the United States and over 220 manufacturing sites worldwide.",1037868,NYSE,USD,USA,MANUFACTURING,MOTORS & GENERATORS,"1100 CASSATT ROAD, PO BOX 1764, BERWYN, PA, US",December,2022-09-30,33033431000,1775334000,29.42,1.76,31.06,0.86,0.0064,4.89,26.14,0.188,0.243,0.0773,0.166,6028608000,1912614000,4.89,0.173,0.077,152.53,29.42,24.04,5.27,4.564,5.74,19.45,1.228,145.79,105.82,137.82,125.24,229654000,2022-12-23,2022-12-06
AMGN,Common Stock,Amgen Inc,"Amgen Inc. (formerly Applied Molecular Genetics Inc.) is an American multinational biopharmaceutical company headquartered in Thousand Oaks, California. Focused on molecular biology and biochemistry, its goal is to provide a healthcare business based on recombinant DNA technology.",318154,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","ONE AMGEN CENTER DRIVE, THOUSAND OAKS, CA, US",December,2022-09-30,142390886000,13425000000,21.5,1.55,6.85,7.58,0.0324,12.41,48.29,0.26,0.388,0.0993,1.152,26329999000,19525000000,12.41,0.202,-0.008,269.44,21.5,14.95,5.49,39.6,6.53,13.85,0.648,294.64,209.61,275.65,251.5,533579000,2023-03-08,2023-02-14
AMP,Common Stock,Ameriprise Financial Inc,"Ameriprise Financial, Inc. is a diversified financial services company and bank holding company incorporated in Delaware and headquartered in Minneapolis, Minnesota. It provides financial planning products and services, including wealth management, asset management, insurance, annuities, and estate planning.",820027,NYSE,USD,USA,FINANCE,INVESTMENT ADVICE,"1099 AMERIPRISE FINANCIAL CENTER, MINNEAPOLIS, MN, US",December,2022-09-30,33201039000,4297000000,13.02,1.359,30.53,4.76,0.0161,23.97,128.06,0.192,0.296,0.0165,0.617,14436000000,7588000000,23.97,-0.438,0.206,342,13.02,11.42,2.318,10.52,2.199,-,1.469,339.41,218.08,316.32,280.29,106417000,2022-11-18,2022-11-04
AMT,Common Stock,American Tower Corp,"American Tower Corporation (also referred to as American Tower or ATC) is an American real estate investment trust and an owner and operator of wireless and broadcast communications infrastructure in several countries worldwide and is headquartered in Boston, Massachusetts.",1053507,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"116 HUNTINGTON AVE, BOSTON, MA, US",December,2022-09-30,101734916000,6350300000,34.3,3.572,13.49,5.69,0.0295,6.37,22.77,0.278,0.303,0.0312,0.259,10451300000,6674900000,6.37,0.139,0.088,248.82,34.3,48.78,9.72,16.3,14.06,20.26,0.536,278.37,176.86,212.6,238.53,465606000,2023-02-02,2022-12-27
AMZN,Common Stock,Amazon.com Inc,"Amazon.com, Inc. is an American multinational technology company which focuses on e-commerce, cloud computing, digital streaming, and artificial intelligence. It is one of the Big Five companies in the U.S. information technology industry, along with Google, Apple, Microsoft, and Facebook. The company has been referred to as one of the most influential economic and cultural forces in the world, as well as the world's most valuable brand.",1018724,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-CATALOG & MAIL-ORDER HOUSES,"410 TERRY AVENUE NORTH, SEATTLE, WA, US",December,2022-09-30,878162412000,51549000000,76.86,4.953,13.48,0,0,1.12,49.35,0.0226,0.0258,0.02,0.0878,502190998000,197478000000,1.12,-0.097,0.147,137.98,76.86,43.86,1.797,6.61,1.948,19.3,1.195,170.83,81.43,92.53,118.25,10201700000,None,None
